created_at,entry_id,humidity,drection,press,temperature,speed
2021/6/13 11:10,152,72,4,100788,31.5,0.5
2021/6/13 11:46,153,67,7,100744,32.2,1.4
2021/6/13 12:21,154,66,2,100720,32.2,0.6
2021/6/13 12:56,155,64,0,100671,32.5,0.5
2021/6/13 13:31,156,61,5,100599,33.2,0.9
2021/6/13 14:07,157,61,5,100555,33.4,1.2
2021/6/13 14:42,158,57,5,100557,33.7,1.5
2021/6/13 15:17,159,60,6,100525,33.2,1.4
2021/6/13 15:53,160,65,4,100523,32.7,1.9
2021/6/13 16:28,161,71,5,100503,31.3,1.9
2021/6/13 17:03,162,75,2,100516,30.6,1.4
2021/6/13 17:39,163,88,3,100553,27.8,0.4
2021/6/13 18:49,164,84,2,100623,28.1,0
2021/6/13 19:24,165,83,6,100662,28.1,1.3
2021/6/13 20:00,166,83,3,100694,28.1,0.2
2021/6/13 20:35,167,84,3,100707,27.8,0.7
2021/6/13 21:46,168,85,1,100760,27.8,0.9
2021/6/13 22:21,169,85,2,100774,27.8,1.3
2021/6/13 22:56,170,85,3,100764,27.7,0.1
2021/6/13 23:32,171,85,2,100754,27.7,0.2
2021/6/14 0:07,172,85,0,100717,27.7,0.7
2021/6/14 0:42,173,85,0,100677,27.6,0.7
2021/6/14 1:17,174,85,0,100628,27.5,0.5
2021/6/14 1:53,175,85,7,100585,27.5,0.4
2021/6/14 2:28,176,85,1,100575,27.3,1.5
2021/6/14 3:03,177,85,3,100541,27.2,0
2021/6/14 3:39,178,85,7,100517,27.2,0
2021/6/14 4:14,179,85,2,100541,27.3,0.4
2021/6/14 4:49,180,85,2,100518,27.2,0.1
2021/6/14 5:25,181,86,7,100537,27.2,0.1
2021/6/14 6:00,182,86,3,100571,27.2,0.1
2021/6/14 6:35,183,86,4,100594,27.7,0.1
2021/6/14 7:10,184,78,7,100602,30.6,0
2021/6/14 7:46,185,76,5,100589,31.1,0.5
2021/6/14 8:21,186,71,5,100600,32,0.7
2021/6/14 8:56,187,75,4,100610,30.7,0.9
